SensorId,SensoridName,Recordtime,VsrId,CarsTotal,CarsSpeed,Collect,CarsSVo,CarsTVo,CarsLVo,RecordDate,Week,Holiday,Avg,AvgSD,CheckDayData,SmoSpeed003,SmoSpeed004,Pearson004
157,nfbVD-N1-S-83-O-NE-2-??,0:00,1,5,18,5,4,0,1,14/1/2015,3,0,19,-1,1,19.4314591,19.4314591,1
157,nfbVD-N1-S-83-O-NE-2-??,0:05,1,4,27,7,2,0,2,14/1/2015,3,0,19,8,1,19.71572955,19.71572955,1
157,nfbVD-N1-S-83-O-NE-2-??,0:10,1,0,0,0,0,0,0,14/1/2015,3,0,19,-19,1,20,20,1
157,nfbVD-N1-S-83-O-NE-2-??,0:15,1,3,13,10,2,1,0,14/1/2015,3,0,19,-6,1,16.5,16.5,1
157,nfbVD-N1-S-83-O-NE-2-??,0:20,1,3,38,1,2,1,0,14/1/2015,3,0,19,19,1,13,13,1
157,nfbVD-N1-S-83-O-NE-2-??,0:25,1,0,0,0,0,0,0,14/1/2015,3,0,19,-19,1,19,19,1
157,nfbVD-N1-S-83-O-NE-2-??,0:30,1,3,25,4,3,0,0,14/1/2015,3,0,19,6,1,25,25,1
157,nfbVD-N1-S-83-O-NE-2-??,0:35,1,1,29,2,1,0,0,14/1/2015,3,0,19,10,1,24.36988187,24.36988187,1
157,nfbVD-N1-S-83-O-NE-2-??,0:40,1,2,20,14,2,0,0,14/1/2015,3,0,19,1,1,23.73976375,23.73976375,1
157,nfbVD-N1-S-83-O-NE-2-??,0:45,1,3,24,4,1,1,1,14/1/2015,3,0,19,5,1,24.01291175,24.01291175,1
157,nfbVD-N1-S-83-O-NE-2-??,0:50,1,3,24,2,3,0,0,14/1/2015,3,0,19,5,1,24.28605976,24.28605976,1
157,nfbVD-N1-S-83-O-NE-2-??,0:55,1,4,25,7,3,0,1,14/1/2015,3,0,19,6,1,25.64302988,25.64302988,1
157,nfbVD-N1-S-83-O-NE-2-??,1:00,1,0,0,0,0,0,0,14/1/2015,3,0,19,-19,1,27,27,1
157,nfbVD-N1-S-83-O-NE-2-??,1:05,1,2,29,3,2,0,0,14/1/2015,3,0,19,10,1,27.78635442,27.78635442,1
157,nfbVD-N1-S-83-O-NE-2-??,1:10,1,2,15,12,2,0,0,14/1/2015,3,0,19,-4,1,28.57270884,28.57270884,1
157,nfbVD-N1-S-83-O-NE-2-??,1:15,1,1,29,2,1,0,0,14/1/2015,3,0,19,10,1,27.87636544,27.87636544,1
157,nfbVD-N1-S-83-O-NE-2-??,1:20,1,4,16,10,3,1,0,14/1/2015,3,0,19,-3,1,27.18002203,27.18002203,1
157,nfbVD-N1-S-83-O-NE-2-??,1:25,1,3,27,3,2,1,0,14/1/2015,3,0,19,8,1,27.27386556,27.27386556,1
157,nfbVD-N1-S-83-O-NE-2-??,1:30,1,2,32,3,1,0,1,14/1/2015,3,0,19,13,1,27.36770909,27.36770909,1
157,nfbVD-N1-S-83-O-NE-2-??,1:35,1,3,22,4,3,0,0,14/1/2015,3,0,19,3,1,26.93385454,26.93385454,1
157,nfbVD-N1-S-83-O-NE-2-??,1:40,1,0,0,0,0,0,0,14/1/2015,3,0,19,-19,1,26.5,26.5,1
157,nfbVD-N1-S-83-O-NE-2-??,1:45,1,3,31,2,3,0,0,14/1/2015,3,0,19,12,1,26.5,26.5,1
157,nfbVD-N1-S-83-O-NE-2-??,1:50,1,0,0,0,0,0,0,14/1/2015,3,0,19,-19,1,26.5,26.5,1
157,nfbVD-N1-S-83-O-NE-2-??,1:55,1,2,22,3,2,0,0,14/1/2015,3,0,19,3,1,26.75,26.75,1
157,nfbVD-N1-S-83-O-NE-2-??,2:00,1,0,0,0,0,0,0,14/1/2015,3,0,19,-19,1,27,27,1
157,nfbVD-N1-S-83-O-NE-2-??,2:05,1,2,32,2,2,0,0,14/1/2015,3,0,19,13,1,27.05122737,27.05122737,1
157,nfbVD-N1-S-83-O-NE-2-??,2:10,1,3,25,3,3,0,0,14/1/2015,3,0,19,6,1,27.10245473,27.10245473,1
157,nfbVD-N1-S-83-O-NE-2-??,2:15,1,1,26,2,1,0,0,14/1/2015,3,0,19,7,1,26.80122737,26.80122737,1
157,nfbVD-N1-S-83-O-NE-2-??,2:20,1,0,0,0,0,0,0,14/1/2015,3,0,19,-19,1,26.5,26.5,1
